,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
159,25.0,1.6,6.65,38.0,0.0,0.0,0.0,0.0,452.0,3
160,21.5,4.4,7.45,8.4,0.0,0.0,0.0,0.0,382.5,3
161,21.5,1.9,7.35,33.0,0.0,0.0,0.0,0.0,503.0,4
162,25.0,5.6,7.6,7.0,0.0,0.0,0.0,0.0,395.0,3
163,16.0,7.2,7.55,1.5,0.0,0.0,0.0,0.0,220.0,1
164,25.0,4.6,7.3,7.0,0.0,0.0,0.0,0.0,532.0,4
165,25.0,5.5,7.6,6.8,0.0,0.0,0.0,0.0,398.5,3
166,21.0,5.1,7.7,7.9,0.0,0.0,0.0,0.0,212.5,1
167,25.0,5.0,7.55,9.4,0.0,0.0,0.0,0.0,377.0,3
168,24.5,3.9,7.05,14.0,0.0,0.0,0.0,0.0,491.5,3
169,24.5,5.0,7.45,7.0,0.0,0.0,0.0,0.0,430.0,3
170,24.5,8.15,8.3,5.15,6025.0,0.0,5800.0,12050.0,453.0,3
171,27.8,8.2,7.3,0.0,3900.0,0.5,2000.0,7800.0,175.0,1
172,28.2,8.3,7.4,0.0,6500.0,0.5,2000.0,13000.0,177.0,1
173,25.9,6.95,8.15,4.2,14350.0,1.55,12100.0,28700.0,348.5,2
174,25.9,6.7,8.1,4.4,18375.0,1.55,17700.0,36750.0,354.0,2
175,26.25,3.0,7.6,8.5,65250.0,2.2,93500.0,130500.0,394.5,3
176,26.25,2.3,7.55,8.95,140500.0,2.35,128500.0,281000.0,402.0,4
177,26.25,2.3,8.05,9.3,57500.0,2.85,62500.0,115000.0,518.0,4
178,26.25,1.9,7.55,10.1,74750.0,2.95,109500.0,149500.0,526.5,4
179,26.25,4.1,8.05,4.95,18500.0,1.35,24100.0,37000.0,393.0,3
180,26.25,4.45,8.05,4.3,13075.0,1.35,17350.0,26150.0,384.5,3
181,23.5,6.95,7.95,4.55,3825.0,0.85,5250.0,7650.0,384.5,3
182,23.5,7.05,7.95,4.55,3800.0,0.85,4950.0,7600.0,379.0,3
183,26.5,8.25,8.3,2.85,1200.0,0.2,1200.0,2400.0,408.0,3
184,24.5,7.0,7.35,5.5,13975.0,0.0,14750.0,27950.0,312.0,2
185,23.5,7.55,7.55,4.3,11500.0,0.0,11550.0,23000.0,293.0,2
186,21.0,9.9,7.8,3.0,8525.0,0.5,13200.0,17050.0,300.0,2
